text_id,text,label_0_mean,label_0_std,label_0_last,label_1_mean,label_1_std,label_1_last,label,pred,agreement_level,agreement_factor,comment_id,confidence,variability,correctness,is_correct,agreement_factor_rd
11,"if you gone riot, please make sure you’re staying  true to the CAUSE! protest against police brutality and the death of George Floyd.  I love Atlanta. don’t just be fucking it up on some nut shit.",0.029033545777201603,0.01717698436886936,0.0153328906744718,0.9709664583206177,0.01717699276403364,0.984667181968689,1,1,A+,0.8,1006_test,0.9709664583206177,0.01717699276403364,0.984667181968689,True,0.8
12,  Yes we’ve had enough of your BS... that’s for sure!!! <url>,0.3665313184261322,0.2942130366560653,0.7187649607658386,0.6334687113761902,0.2942130649402798,0.2812350690364837,1,0,A+0,0.6,1007_dev,0.6334687113761902,0.2942130649402798,0.2812350690364837,False,0.6
13,"Romans 1:21 ESV / 32 helpful votes Helpful Not Helpful For although they knew God, they did not honor him as God or give thanks to him, but they became futile in their thinking, and their foolish hearts were darkened. Answer=U #Christian #BlackLivesMatter #ALLLIVESMATER #COVID19",0.9616359233856201,0.06801397924393487,0.9991857409477234,0.03836406965274358,0.06801397375425179,0.0008142731385305,0,0,A++,1.0,1007_test,0.9616359233856201,0.06801397924393487,0.9991857409477234,True,1.0
14,"Hey   the original photo by  had a #BlackLivesMatter sign in the background, but you edited it out. Any reason why?",0.990103006362915,0.01136514733237128,0.9969103932380676,0.009897014731541219,0.011365133052358213,0.0030896347016096,0,0,A++,1.0,1007_train,0.990103006362915,0.01136514733237128,0.9969103932380676,True,1.0
15,for gods sakes how did u know in 2012????? <url>,0.9794726610183716,0.03886317850353202,0.9988534450531006,0.0205273409141227,0.0388632146620814,0.0011465410934761,0,0,A++,1.0,1008_dev,0.9794726610183716,0.03886317850353202,0.9988534450531006,True,1.0
16,"This is very disturbing. Validating behaviour and victim blaming is typical of weak, cowardly bullies.  The two issues in the tweet are not mutually exclusive. #GeorgeFloyd #Police",0.8604039192199707,0.14363689885243064,0.9975080490112304,0.13959606522694226,0.1436369209515185,0.0024919263087213,0,0,A+,0.8,1008_test,0.8604039192199707,0.14363689885243064,0.9975080490112304,True,0.8
17,   put more lunatics on you show!! Police free!! She must be a career criminal then!! Who the hell in their right mind agrees with that?? Oh. Right!!  and ,0.3124022454023361,0.2830797958941795,0.0236401371657848,0.6875977456569672,0.28307981331440113,0.9763599038124084,1,1,A+0,0.6,1008_train,0.6875977456569672,0.28307981331440113,0.9763599038124084,True,0.6
18,Am I supposed to feel sympathy?? Ignorance is a choice  <url>,0.9745802879333496,0.02486388989901762,0.998129904270172,0.025419693696312563,0.02486387456961328,0.0018701403168961,0,0,A++,1.0,1009_dev,0.9745802879333496,0.02486388989901762,0.998129904270172,True,1.0
19,"#BlackLivesMatter Managing Director, Kailee Scales is joined by South Bend Black Lives Matter members to discuss the role of community organizers on the ground. BLM South Bend organizers discuss the police killing of Eric  <url> <url>",0.9527635931968689,0.08691508778875506,0.9974121451377868,0.04723639199510214,0.08691513833853066,0.0025878301821649,0,0,A++,1.0,1009_test,0.9527635931968689,0.08691508778875506,0.9974121451377868,True,1.0
20, Please sign this petition to protect our black communities   <url>  #GeorgeFloyd #JusticeforGeorge thank you ❤️❤️❤️ #ShutDownSTEM #trollz #StrikeforBlackLives,0.9526777744293213,0.07195209733894986,0.9986995458602904,0.04732219891156996,0.07195211067590472,0.0013003769563511,0,0,A++,1.0,1009_train,0.9526777744293213,0.07195209733894986,0.9986995458602904,True,1.0
21,The race hustle is a game of great antiquity.,0.9582188248634338,0.05295484556789843,0.995422065258026,0.0417811390012502,0.05295482349324689,0.0045778974890708,0,0,A+,0.8,100_train,0.9582188248634338,0.05295484556789843,0.995422065258026,True,0.8
22,Or the 5G conspiracy crazies,0.7582024216651917,0.31238167294482,0.9926418662071228,0.24179757349193093,0.31238166632435665,0.0073581524193286,0,0,A+,0.8,1010_test,0.7582024216651917,0.31238167294482,0.9926418662071228,True,0.8
23," All kinds of racism, including religious one, must be banned. Against Blacks Against Muslims Against Jews Against Kurdishes Against Polishes Against Slavs. Against Gypsies Against Pakistani Against Indians Against Persian Against Latinos Racism must be banned. #BlackLivesMatter",0.8389803051948548,0.20965710313822883,0.9968079924583436,0.16101970169693225,0.20965707595263094,0.0031920324545353,0,0,A++,1.0,1010_train,0.8389803051948548,0.20965710313822883,0.9968079924583436,True,1.0
24, Democrats are Cheaters <url>,0.3632958687841892,0.41714176135206166,0.0110682770609855,0.6367041319608688,0.41714173793944553,0.9889316558837892,1,1,A+,0.8,1011_dev,0.6367041319608688,0.41714173793944553,0.9889316558837892,True,0.8
25, Fuck you Joe.  You’re a corrupt piece of shit who got rich selling out your country and there is proof positive...,0.1060046007856726,0.20037627297484897,0.0047239568084478,0.8939953923225403,0.20037625252003785,0.9952759742736816,1,1,A++,1.0,1011_test,0.8939953923225403,0.20037625252003785,0.9952759742736816,True,1.0
26,"Talk about a Freudian slip: Just got an email from  about the second Coronavirus case in NC, saying the person """"flu home"""" after their trip to Italy.""",0.9259642720222473,0.09719666533595628,0.998097598552704,0.0740357315400615,0.09719669980377683,0.0019024169305339,0,0,A0,0.6,1011_train,0.9259642720222473,0.09719666533595628,0.998097598552704,True,0.6
27,It’s so sad that people really get on this app and type bullshit just to scare people,0.1996789159253239,0.19752437561226005,0.109305515885353,0.8003210484981537,0.19752437059659878,0.8906944990158081,1,1,A+0,0.6,1012_dev,0.8003210484981537,0.19752437059659878,0.8906944990158081,True,0.6
28,#FactsMatter  #joeBiden used his power against interests of #usa to get his #BidenCrimeFamiily rich. We lost #jobs #economy  and policy was changed as a result of #bribery to #biden #TonyBobulinski #nypost  #biden lies hates police and fracking #votemaga #SaveOurChildren,0.8712299108505249,0.10038163660139302,0.9846280813217164,0.1287700811401009,0.10038163882168302,0.0153718786314129,0,0,A0,0.6,1012_test,0.8712299108505249,0.10038163660139302,0.9846280813217164,True,0.6
29," CNN/fake news, claim Proud Boys are racists, Chris Wallace tried to get Trump to admit to this false narrative, Trump didn't fall for it, Proud Boys are not racists, and Trump has condemned white supremacist on multiple occasions. <url>",0.8474378108978271,0.2255285511559061,0.998271346092224,0.15256217841524627,0.22552858402945766,0.0017286200309172,0,0,A+,0.8,1013_dev,0.8474378108978271,0.2255285511559061,0.998271346092224,True,0.8
30,"my parents aren’t racist, i don’t want to pain them in that light. they told my sister about the murder of george floyd. they don’t want me voicing my opinion on the protests which i think is bullshit",0.34422233775258065,0.3660068400258041,0.0421364717185497,0.6557776749134063,0.36600686654813963,0.9578635692596436,1,1,A+,0.8,1013_test,0.6557776749134063,0.36600686654813963,0.9578635692596436,True,0.8
31,What in God’s green diddly-dally-Earth??,0.9222606301307679,0.10010376821934498,0.9985886216163636,0.07773935238365079,0.10010378579504607,0.0014113379875198,0,0,A++,1.0,1013_train,0.9222606301307679,0.10010376821934498,0.9985886216163636,True,1.0
32,"  You truly have a mental disorder.   Coronavirus is the President's fault???  A murderous cop killed George Floyd, that's the President's fault??  The only Russian collusion was within the DemocRAT party... that's the President's fault????  You are ill.",0.5638813555240632,0.2411416455716916,0.9100210070610046,0.43611864894628527,0.24114162508942538,0.0899790152907371,0,0,A0,0.6,1014_dev,0.5638813555240632,0.2411416455716916,0.9100210070610046,True,0.6
33,"And Democrats in the USA play politics with China’s coronavirus, denying stimulus relief and refusing to follow their own scientists",0.9208028316497803,0.09559822177027745,0.9966974258422852,0.07919717384502287,0.09559820474812152,0.0033025569282472,0,0,A+,0.8,1014_test,0.9208028316497803,0.09559822177027745,0.9966974258422852,True,0.8
34,   Nobody is allowed to interrupt. Trump doesn't follow what he supposed to do and never has. He thinks he's special. He's so the opposite of special. Law and Order MY ASS #TrumpLost,0.1960248529911041,0.1513300025462992,0.029258944094181,0.8039751529693604,0.1513300239029504,0.9707410335540771,1,1,A+0,0.6,1014_train,0.8039751529693604,0.1513300239029504,0.9707410335540771,True,0.6
35,  Hey man shouldn’t you be jackin’ it to Tucker Carlson right now?,0.5803618393838406,0.4500168587762718,0.0564538650214672,0.4196381349116563,0.4500168498452489,0.9435461163520812,1,1,A++,1.0,1015_dev,0.4196381349116563,0.4500168498452489,0.9435461163520812,True,1.0
36,"Coronavirus and Forbearance Info for Students, Borrowers, and Parents <url> #StudentLoans #PersonalFinance #Forbearance #CollegeAid #FinancialAid <url>",0.9916662335395813,0.006887180455103095,0.998467981815338,0.00833374555222684,0.0068871582763088005,0.0015319508966058,0,0,A++,1.0,1015_test,0.9916662335395813,0.006887180455103095,0.998467981815338,True,1.0
37,"The US could never ... when im old enough im moving out of this shitty country, GN",0.22706738170236346,0.25204620599123384,0.0084395669400691,0.7729326009750366,0.25204619270357054,0.991560399532318,1,1,A+0,0.6,1015_train,0.7729326009750366,0.25204619270357054,0.991560399532318,True,0.6
38, complaining is that of a toddler. Suck it up buttercup! Do what's required or no White House press pass.  wouldn't miss you.,0.7393286347389221,0.24859183612762456,0.992172360420227,0.2606713777640834,0.2485918702762652,0.0078276572749018,0,0,A0,0.6,1017_dev,0.7393286347389221,0.24859183612762456,0.992172360420227,True,0.6
39,This is America!   #BlackLivesMatter   <url>,0.9928106546401978,0.0044206763854096115,0.998995840549469,0.0071893511572852205,0.004420679663690777,0.0010041791247203,0,0,A+,0.8,1017_train,0.9928106546401978,0.0044206763854096115,0.998995840549469,True,0.8
40,"Hey, #MAGA, #TheHateYam finally built #TheWall he promised, but it's not on the border it's around the #WhiteHouse, and #Mexico didn't pay for it, you did. #BunkerBitch is afraid of his own electorate because he knows he was #FraudulentlyElected. #JoeBiden <url>",0.22869069129228586,0.28121039312806406,0.0124777480959892,0.7713092923164367,0.28121038695558415,0.9875221848487854,1,1,A+,0.8,1018_dev,0.7713092923164367,0.28121038695558415,0.9875221848487854,True,0.8
41," They already have a little bunker bitch in there, no?",0.10974071044474835,0.15916131272546905,0.0161876399070024,0.8902593135833741,0.15916132148126313,0.9838123917579652,1,1,A++,1.0,1018_test,0.8902593135833741,0.15916132148126313,0.9838123917579652,True,1.0
42,"Your racist, coward, yellowbelly, senile 💩 #FakePres. ""tear gassed"" &amp; ""rubber bullet"" shot at peaceful protesters, so he can had a F'KN PHOTO-OP. #BIGOTtRUMP #RACISTINCHIEF   #FAKEPRESIDENT #GEORGEFLOYD #BIDEN2020  #OBAMAGREAT <url>",0.1490102335810661,0.27600621094181094,0.0111358631402254,0.8509897768497467,0.2760062344495753,0.9888641834259032,1,1,A++,1.0,1019_dev,0.8509897768497467,0.2760062344495753,0.9888641834259032,True,1.0
43,"If you’re not streaming to the  meeting right now, what even are you doing???  #BlackLivesMatter  #PeoplesBudgetLA  #DefundLAPD  <url>  I yield my time, F*** Y**!",0.13996801562607283,0.23543241378372298,0.0122943986207246,0.8600319802761078,0.23543239251510983,0.9877055287361144,1,1,A+0,0.6,1019_test,0.8600319802761078,0.23543239251510983,0.9877055287361144,True,0.6
44,      Right?  These clowns just need to pack it up and head for their bunkers.,0.8624050617218018,0.15778487998284899,0.9990369081497192,0.13759493319084865,0.1577848702780978,0.0009631674620322,0,0,A+,0.8,1019_train,0.8624050617218018,0.15778487998284899,0.9990369081497192,True,0.8
45,"so with everything happening because of George Floyd’s death…  yes, he died. that’s truly heartbreaking and so wrong and disgusting. but people who are looting stores, who are hurting others, what you are doing ISNT RIGHT.   please, stop the violence.",0.9196223855018616,0.14730967584540303,0.9979236125946044,0.08037761473096904,0.14730967713374474,0.0020763108041137,0,0,A++,1.0,101_dev,0.9196223855018616,0.14730967584540303,0.9979236125946044,True,1.0
46,#India and #Colombia are getting ridiculous.  #coronavirus #COVID19    <url>,0.94306401014328,0.08742433434807632,0.998402774333954,0.056935962801799134,0.08742431987673739,0.0015972370747476,0,0,A++,1.0,101_test,0.94306401014328,0.08742433434807632,0.998402774333954,True,1.0
47," psychosis is Gaslighting America, his lying is believed by today’s Brown Shirts. Fred Trump’s racism alive.   speak! Stephen Miller sick with self hatred. George Floyd is the latest. Nothing new. <url>",0.6370283007621765,0.28823745671496276,0.8814436793327332,0.3629716902971268,0.2882374713627668,0.1185563057661056,0,0,A++,1.0,1020_dev,0.6370283007621765,0.28823745671496276,0.8814436793327332,True,1.0
48,"  I am very serious!  Are you an IDIOT!  Are you even following the Hunter Biden ""laptop"" scandal.  Do you even know about the PROFITING the entire Biden family got from Joes political influence with China and the Ukraine?",0.690928989648819,0.219945609794454,0.9071417450904846,0.3090710386633873,0.21994559714521353,0.0928583070635795,0,0,A0,0.6,1020_test,0.690928989648819,0.219945609794454,0.9071417450904846,True,0.6
49,"Love In The Time of Coronavirus or, is my wedding going to get cancelled due to travel restrictions?",0.9859256625175477,0.01840221083825112,0.9992337226867676,0.01407431290717794,0.018402216868359536,0.0007662621210329,0,0,A++,1.0,1021_dev,0.9859256625175477,0.01840221083825112,0.9992337226867676,True,1.0
50,"to the ""all lives matter"" people, this is how you sound #BlackLivesMatter #AllLivesMatter <url>",0.9714900612831116,0.053607662388721423,0.9986586570739746,0.028509906143881342,0.053607664030144865,0.001341306255199,0,0,A++,1.0,1021_test,0.9714900612831116,0.053607662388721423,0.9986586570739746,True,1.0
51,When will she f##k off,0.10855277348309753,0.14065832054361435,0.0123629933223128,0.8914472341537476,0.14065828519340934,0.987636923789978,1,1,A+,0.8,1022_dev,0.8914472341537476,0.14065828519340934,0.987636923789978,True,0.8
52, <url> Karma is a bitch... wouldn’t be protesting if he robbed your pregnant wife sister etc bunch of scumbags,0.17601655963808294,0.33932165330751357,0.0118780387565493,0.8239834398031235,0.3393216641621983,0.9881219863891602,1,1,A++,1.0,1022_train,0.8239834398031235,0.3393216641621983,0.9881219863891602,True,1.0
53,"Leadership is about two things, inspiring confidence and competence, the leaders over at Mount Sinai are failing at both. #COVID19nyc #COVID19   <url>",0.9870082139968872,0.011282499632195176,0.9988794922828674,0.012991798156872361,0.011282478528269272,0.0011205086484551,0,0,A0,0.6,1023_dev,0.9870082139968872,0.011282499632195176,0.9988794922828674,True,0.6
54, You believe that 8 year olds can change their gender and men can get pregnant. 🤣,0.8319198012351989,0.17751098404561144,0.9978317618370056,0.16808020388707512,0.17751098861991887,0.0021682046353816,0,0,A0,0.6,1023_test,0.8319198012351989,0.17751098404561144,0.9978317618370056,True,0.6
55,  Lol duck off fascist,0.17105000028386708,0.21918833934388407,0.0408808551728725,0.828950023651123,0.2191883352238084,0.959119200706482,1,1,A+,0.8,1024_dev,0.828950023651123,0.2191883352238084,0.959119200706482,True,0.8
56,Couple more days to enter this,0.9886221647262573,0.008740367192951076,0.9984734654426576,0.01137784158345308,0.008740345767061338,0.0015265821712091,0,0,A++,1.0,1024_test,0.9886221647262573,0.008740367192951076,0.9984734654426576,True,1.0
57, We are good but I’m in Maine. Covid conservative but liberal governor who is pissing everyone off who does not understand the whole point of the measures is having a low infection rate. She won’t get re-elected because people are dumb but I’m thankful for her.,0.5397741198539734,0.15998460715293744,0.321973979473114,0.4602258801460266,0.15998459302771886,0.6780259609222412,1,1,A+,0.8,1024_train,0.4602258801460266,0.15998459302771886,0.6780259609222412,True,0.8
58,Please do what you can #BlackLivesMatter #JusticeForGeorgeFloyd <url> ,0.9904391527175903,0.014704042690675196,0.999050796031952,0.009560835291631481,0.014704094519623205,0.0009491374948993,0,0,A++,1.0,1025_dev,0.9904391527175903,0.014704042690675196,0.999050796031952,True,1.0
59,    Trump supporters be like,0.8688919544219971,0.1829415461165152,0.9984360337257384,0.13110803938470778,0.18294153041800013,0.0015639837365597,0,0,A++,1.0,1025_test,0.8688919544219971,0.1829415461165152,0.9984360337257384,True,1.0
60,Oh you don't have to come on show them to me!,0.9835411906242371,0.009776245547117021,0.9988730549812316,0.016458776523359062,0.009776244670118688,0.0011268990347161,0,0,A++,1.0,1026_dev,0.9835411906242371,0.009776245547117021,0.9988730549812316,True,1.0
61,"This makes me so sick. Even if he were genuinely overcome with a emotion, to make this moment about himself is so gross....",0.9167238235473633,0.15742639922572138,0.9971131086349488,0.0832761799450963,0.157426400094288,0.0028868371155112,0,0,A++,1.0,1026_test,0.9167238235473633,0.15742639922572138,0.9971131086349488,True,1.0
62,           No hypocrisy. Racism is wrong. Period. I condemn the racism against Asian-Americans just as I would the racism against Africans in China. COVID is a global problem that sees no color or race - and we all must focus our energy to come together and find a solution as a HUMAN race.,0.9333963036537171,0.06871836039712673,0.9922663569450378,0.06660369895398609,0.06871838429217371,0.0077336025424301,0,0,A+,0.8,1026_train,0.9333963036537171,0.06871836039712673,0.9922663569450378,True,0.8
63,"You turned Libya from the country with the highest standard of living in Africa into a failed state run by Al-Qaeda ""rebels"" who now sell Africans in open air slave markets.  Plus you and your husband pillaged Haiti for billions.  Since when did #BlackLivesMatter to the Clintons? <url>",0.6972860455513,0.1953503734445459,0.8942973017692566,0.3027139395475388,0.19535035359660663,0.1057026833295822,0,0,A+,0.8,1027_dev,0.6972860455513,0.1953503734445459,0.8942973017692566,True,0.8
64, These are people that don’t believe that face masks work or that COVID even exists but are too chickenshit to possibly get fined for not having a mask.,0.2838705968111753,0.3227924043785867,0.0235213972628116,0.7161293983459472,0.3227923965374531,0.9764785766601562,1,1,A+0,0.6,1027_test,0.7161293983459472,0.3227923965374531,0.9764785766601562,True,0.6
65,"WOW!  Advertises Tucson Rally for Days - About a Dozen Cars Turn Out -- Across the State Over 15,000 Turn Out to See President Trump in Bullhead, AZ after 4 Day Notice! <url> via ",0.9222067475318909,0.11910542232490912,0.9990631937980652,0.07779327740427103,0.11910543747576809,0.0009367977036163,0,0,A++,1.0,1027_train,0.9222067475318909,0.11910542232490912,0.9990631937980652,True,1.0
66,All lives really don’t matter and everyone knows it #BLM #BLACK_LIVES_MATTER,0.9311811566352844,0.14249628100805817,0.9983554482460022,0.06881884390022601,0.14249629663255395,0.0016445544315502,0,0,A+,0.8,1028_dev,0.9311811566352844,0.14249628100805817,0.9983554482460022,True,0.8
67,  The black community is waking up playa!!! <url>,0.9776985764503479,0.026542694843523132,0.9977428913116456,0.02230142923071976,0.026542680765829257,0.002257156651467,0,0,A+,0.8,1028_test,0.9776985764503479,0.026542694843523132,0.9977428913116456,True,0.8
68,"Seriously though, there may be some points of discussion regarding various statues but this guy killed millions of Africans in a mass slaughter. How in God's name was there ever a statue for this mass murderer?? Even in his own time they knew that. Jeez Louise! 😕",0.8427248120307922,0.18926104097113747,0.9897711277008056,0.1572752010077238,0.18926102875365572,0.0102288909256458,0,0,A++,1.0,1028_train,0.8427248120307922,0.18926104097113747,0.9897711277008056,True,1.0
69,   He also came to threaten this law with his private militia. We can’t let that go.,0.9124910712242127,0.16903818444006902,0.9992151260375975,0.08750894471304486,0.1690381922450927,0.0007848581881262,0,0,A+,0.8,1029_train,0.9124910712242127,0.16903818444006902,0.9992151260375975,True,0.8
70,What is the truth!! Stop believing data spins to control your fear,0.8928974866867065,0.20455255849374668,0.9966349005699158,0.10710254888981578,0.20455255430021552,0.0033651329576969,0,0,A++,1.0,102_dev,0.8928974866867065,0.20455255849374668,0.9966349005699158,True,1.0
71,covid has turned me into a little snitch but i only snitch on the snitches,0.7861095786094665,0.20588978357804832,0.997780740261078,0.21389040239155294,0.20588979666784707,0.0022192113101482,0,0,A++,1.0,102_test,0.7861095786094665,0.20588978357804832,0.997780740261078,True,1.0
72, Joe u were lying the whole time smh trump 2020,0.7923259437084197,0.27915987302988315,0.9921610951423644,0.20767406420782203,0.27915988183249385,0.007838892750442,0,0,A0,0.6,102_train,0.7923259437084197,0.27915987302988315,0.9921610951423644,True,0.6
73,"George Floyd should still be alive. So many others should still be alive. While I don't agree with the riots, burning down businesses and outright violence; it needs to be said that there are people actually doing something. Really fucking need to because idiots won't listen.",0.22553974688053127,0.12703443896715758,0.0498767048120498,0.774460244178772,0.12703441201325108,0.9501232504844666,1,1,A++,1.0,1030_dev,0.774460244178772,0.12703441201325108,0.9501232504844666,True,1.0
74,Shenanigans in Mpls. Everyone pay attention.,0.9407896280288697,0.08474197308293213,0.9988906979560852,0.05921038959641006,0.08474196303581656,0.0011093091452494,0,0,A+,0.8,1030_train,0.9407896280288697,0.08474197308293213,0.9988906979560852,True,0.8
75,More insanity #ThinBlueLine,0.9348338484764099,0.08649939944231763,0.9964495897293092,0.06516613638959821,0.0864993838730293,0.0035503895487636,0,0,A++,1.0,1031_dev,0.9348338484764099,0.08649939944231763,0.9964495897293092,True,1.0
76,302 ❣️whack ass leadership smh.,0.1267061524093151,0.20421209730428988,0.0077237915247678,0.8732938647270203,0.20421213761025125,0.9922762513160706,1,1,A+,0.8,1031_test,0.8732938647270203,0.20421213761025125,0.9922762513160706,True,0.8
77,   Nope! Impeachment will take care of it!!!! Dirty Biden crime family!!!,0.35819313470274206,0.3779937063646964,0.0127109689638018,0.6418068617582321,0.3779937204055759,0.9872890710830688,1,1,A+0,0.6,1031_train,0.6418068617582321,0.3779937204055759,0.9872890710830688,True,0.6
78,People wake up! The GOP is killing us and taking all of our money!!!! #LyingTrump #LyingGOP,0.6954004526138305,0.19198296055066172,0.9876686930656432,0.3045995380729437,0.19198292263315403,0.0123313497751951,0,0,A++,1.0,1032_test,0.6954004526138305,0.19198296055066172,0.9876686930656432,True,1.0
79, The numbers are all bullshit....or so says the CDC. <url>,0.19395710118114945,0.26974356399483695,0.0129042714834213,0.8060429096221924,0.26974355733397454,0.9870957136154176,0,1,A0,0.6,1032_train,0.19395710118114945,0.26974356399483695,0.0129042714834213,False,0.6
80,"fuck it i dont care, heres how you can help though <url>",0.2997486755251884,0.369722523082698,0.1641645431518554,0.7002513483166695,0.3697225523648574,0.8358355164527893,0,1,A0,0.6,1033_dev,0.2997486755251884,0.369722523082698,0.1641645431518554,False,0.6
81,"i too need to see a virus kill 230,000 people in my country before i believe it is real",0.9618822813034058,0.03151124101341199,0.9979683756828308,0.03811772526241834,0.03151126263569128,0.0020316571462899,0,0,A++,1.0,1033_test,0.9618822813034058,0.03151124101341199,0.9979683756828308,True,1.0
82,Sid is a bad man.,0.8526948809623718,0.21332897115434488,0.9935227632522584,0.1473051040433347,0.21332899018722928,0.0064771696925163,0,0,A++,1.0,1033_train,0.8526948809623718,0.21332897115434488,0.9935227632522584,True,1.0
83," [2 / 3] If George Floyd was a dog, he'd probably be arrested FASTER!  And you were thrown like a cat.  A weapon *was* used against you (environmental damage).  It is EVIL how they do *NOT* treat either of you as *HUMAN BEINGS*!",0.6880294144153595,0.18969256250821623,0.8537542819976807,0.31197056472301476,0.18969256137774362,0.1462457031011581,0,0,A+,0.8,1034_dev,0.6880294144153595,0.18969256250821623,0.8537542819976807,True,0.8
84,Anonymous is now spreading misinformation. They have sided with the deep state!,0.9384710907936096,0.10438106990937701,0.9989112615585328,0.061528901383280696,0.10438104973263601,0.0010887079406529,0,0,A++,1.0,1034_train,0.9384710907936096,0.10438106990937701,0.9989112615585328,True,1.0
85,  I see a lot of proud violent screaming leftists and liberals in black face passing racially motivated crime bills. YOU AINT BLACK. Biden should be condemning his supporters.,0.19439076483249662,0.14507205569498438,0.1151861101388931,0.8056092262268066,0.1450720497752246,0.8848138451576233,0,1,A0,0.6,1035_dev,0.19439076483249662,0.14507205569498438,0.1151861101388931,False,0.6
86,    Hey RobIDIOT Opinions are like assholes! Everyone has one and they usually stink. BTW nice trumptard projection. That’s literally all you have.,0.12435511797666547,0.15786793442043343,0.0103995269164443,0.8756448984146118,0.1578679736844129,0.9896005392074584,1,1,A++,1.0,1035_test,0.8756448984146118,0.1578679736844129,0.9896005392074584,True,1.0
87,she said <url>,0.9383636116981506,0.1152369370366998,0.9993324875831604,0.06163632483221586,0.11523694076149818,0.0006674295291304,0,0,A++,1.0,1035_train,0.9383636116981506,0.1152369370366998,0.9993324875831604,True,1.0
88,I hope he dies on the toilet.,0.28440732359886167,0.39754870806050413,0.0326736904680728,0.7155926644802093,0.39754871571479217,0.967326283454895,1,1,A++,1.0,1036_test,0.7155926644802093,0.39754871571479217,0.967326283454895,True,1.0
